protein_id,study,class,cluster30,split_group
5mxy_A,A,Zn,43555,43555
6b9v_A,A,Zn,14462,14462
3dxs_X,A,Zn,59010,59010
8ytz_A,A,Zn,1915,1915
7cd4_A,A,Zn,2978,2978
3fid_A,A,Zn,85015,85015
4e6r_A,A,Zn,24642,24642
1jk0_A,A,Zn,2503,2503
3oym_A,A,Zn,3944,3944
7z6e_A,A,Zn,6086,6086
3i3t_C,A,Zn,22957,22957
5b3h_C,A,Zn,42207,42207
6ml4_A,A,Zn,11610,11610
4iup_A,A,Zn,19989,19989
4u4r_q3,A,Zn,570,570
6om4_A,A,Zn,30291,30291
1u2w_A,A,Zn,19183,19183
2ood_A,A,Zn,28570,28570
3l00_A,A,Zn,34399,34399
1a7w_A,A,Zn,6184,6184
1bp3_B,A,Zn,8549,8549
8xet_A,A,Zn,11026,11026
3e9q_B,A,Zn,12862,12862
6cqg_A,A,Zn,725,725
4m9v_C,A,Zn,41362,41362
8i3x_A,A,Zn,17012,17012
7y7o_A,A,Zn,1176,1176
5ulh_C,A,Zn,3160,3160
2eh9_A,A,Zn,13224,13224
5lyn_A,A,Zn,11028,11028
4c81_A,A,Zn,28942,28942
4z8y_A,A,Zn,667,667
5yvx_A,A,Zn,43554,43554
5u6z_A,A,Zn,11103,11103
6p20_D,A,Zn,57939,57939
4gbm_A,A,Zn,77269,77269
8yoz_A,A,Zn,81674,81674
4kjm_A,A,Zn,58015,58015
1ekb_B,A,Zn,6358,6358
3fu1_A,A,Zn,10158,10158
3zpg_A,A,Zn,5573,5573
4iwk_E,A,Zn,1065,1065
7fh9_A,A,Zn,24664,24664
4u8h_D,A,Zn,10345,10345
4ntk_A,A,Zn,12706,12706
6ty2_B,A,Zn,66304,66304
7knf_B,A,Zn,508,508
5z98_A,A,Zn,11305,11305
6rxk_A,A,Zn,5635,5635
6cmk_B,A,Zn,37292,37292
2eul_A,A,Zn,454,454
7tw9_A,A,Zn,27310,27310
7od1_A,A,Zn,3616,3616
5c4v_B,A,Zn,137664,137664
3hwp_A,A,Zn,23965,23965
2h6f_B,A,Zn,2207,2207
6aef_A,A,Zn,14406,14406
6ih0_A,A,Zn,390,390
2iyb_E,A,Zn,4192,4192
5ve9_C,A,Zn,12567,12567
3v4k_A,A,Zn,2332,2332
3l0a_A,A,Zn,199851,199851
3mit_B,A,Zn,6165,6165
3fmu_A,A,Zn,2243,2243
7og7_A,A,Zn,25905,25905
5oqd_A,A,Zn,96763,96763
4wcn_A,A,Zn,18198,18198
8p5q_A,A,Zn,28269,28269
7zvy_A,A,Zn,42949,42949
4z0o_A,A,Zn,32140,32140
4wd8_D,A,Zn,7658,7658
7ysi_A,A,Zn,18164,18164
4n0l_A,A,Zn,237778,237778
4yzi_A,A,Zn,11727,11727
7cq3_A,A,Zn,9437,9437
4n4w_A,A,Zn,80626,80626
7xa2_A,A,Zn,2870,2870
2epf_A,A,Zn,2566,2566
7ef0_A,A,Zn,17985,17985
6u3u_A,A,Zn,10142,10142
1u0a_A,A,Zn,11292,11292
1z83_A,A,Zn,1220,1220
2zkt_A,A,Zn,3471,3471
3f3q_A,A,Zn,25514,25514
4hcc_A,A,Zn,10141,10141
3h63_A,A,Zn,5403,5403
9gy1_A,A,Zn,82718,82718
5gy6_A,A,Zn,13548,13548
3wx7_A,A,Zn,13214,13214
4cs9_C,A,Zn,14097,14097
1fr2_B,A,Zn,4427,4427
3u79_A,A,Zn,3,3
6htm_B,A,Zn,43348,43348
5k1s_A,A,Zn,56481,56481
4o5o_A,A,Zn,3741,3741
7kil_A,A,Zn,12213,12213
5a7m_A,A,Zn,5802,5802
3t92_A,A,Zn,17803,17803
2pw6_A,A,Zn,29648,29648
7rcz_A,A,Zn,90610,90610
7k7t_A,A,Zn,43569,43569
8zin_D,A,Zn,21495,21495
2apo_B,A,Zn,13331,13331
4yxp_A,A,Zn,72963,72963
4pxy_A,A,Zn,89472,89472
3dwd_A,A,Zn,29360,29360
2han_B,A,Zn,3466,3466
1t8k_A,A,Zn,513,513
3p1v_A,A,Zn,58352,58352
5jlb_A,A,Zn,4950,4950
8zd3_B,A,Zn,24408,24408
2fbh_A,A,Zn,3802,3802
4ne7_A,A,Zn,14606,14606
6eqs_A,A,Zn,1731,1731
1onw_A,A,Zn,11874,11874
4flm_A,A,Cu,2970,2970
3ses_A,A,Cu,1794,1794
2c9q_A,A,Cu,18377,18377
3ziy_A,A,Cu,6331,6331
6ibh_A,A,Cu,45454,45454
5fc9_A,A,Cu,33465,33465
4eir_A,A,Cu,3215,3215
7z3b_A,A,Cu,53884,53884
6rn5_A,A,Cu,225385,225385
6i1j_A,A,Cu,18941,18941
5z0d_B,A,Cu,178781,178781
1q5y_B,A,Cu,1221,1221
8k9n_A,A,Cu,4619,4619
1r5a_A,A,Cu,2051,2051
1rju_V,A,Cu,25902,25902
2uwf_A,A,Cu,3021,3021
4eis_A,A,Cu,27587,27587
1and_A,A,Cu,70,70
2q9o_A,A,Cu,5028,5028
7vfc_A,A,Cu,53302,53302
7prl_A,A,Cu,9702,9702
5u7n_A,A,Cu,4315,4315
6xlr_A,A,Cu,8573,8573
5msz_A,A,Cu,36800,36800
2xz4_A,A,Cu,57509,57509
4lsy_B,A,Cu,10252,10252
3s8g_A,A,Cu,4939,4939
7okr_AAA,A,Cu,254038,254038
7r4v_A,A,Cu,5336,5336
5ib3_A,A,Cu,41,41
4f2e_A,A,Cu,62932,62932
1w7c_A,A,Cu,22481,22481
4xyd_B,A,Cu,16792,16792
7puh_B,A,Cu,3634,3634
9kzl_A,A,Cu,23633,23633
5emt_A,A,Cu,2685,2685
1s4c_A,A,Cu,68762,68762
8zyh_A,A,Cu,8421,8421
2aan_A,A,Cu,46337,46337
6fok_A,A,Cu,14830,14830
4lej_A,A,Cu,20223,20223
5jxa_L,A,Cu,5,5
6z1s_A,A,Cu,8207,8207
2xmw_A,A,Cu,30790,30790
3mn0_A,A,Cu,175,175
7coh_A,A,Cu,487,487
8pf0_A,A,Cu,1369,1369
4n0m_A,A,Cu,1377,1377
6hbe_A,A,Cu,170332,170332
3umk_A,A,Cu,3806,3806
1a8v_A,A,Cu,2374,2374
1aoz_A,A,Cu,7177,7177
5vgv_A,A,Cu,795,795
5zrd_A,A,Cu,41692,41692
6ff2_A,A,Cu,8483,8483
5vg0_B,A,Cu,14569,14569
3epv_C,A,Cu,15905,15905
1juh_B,A,Cu,34692,34692
6rek_A,A,Cu,4569,4569
5vf5_A,A,Cu,13457,13457
5z0f_B,A,Cu,176171,176171
7ze9_AAA,A,Cu,43005,43005
1qhq_A,A,Cu,66074,66074
5ufv_A,A,Cu,24097,24097
6qww_A,A,Cu,17,17
2zmx_B,A,Cu,158853,158853
6kli_A,A,Cu,1535,1535
2zwg_B,A,Cu,257524,257524
6els_A,A,Cu,4496,4496
4e9x_A,A,Cu,31916,31916
5fje_A,A,Cu,25239,25239
4isz_B,A,Cu,10200,10200
1fr4_A,A,Cu,35,35
2vov_A,A,Cu,61008,61008
6rw7_A,A,Cu,74466,74466
6quh_B,A,Cu,925,925
5ffc_A,A,Cu,25578,25578
5z0l_B,A,Cu,191944,191944
3ef4_A,A,Cu,33003,33003
1iby_A,A,Cu,56751,56751
1zpu_A,A,Cu,5409,5409
4f2f_A,A,Cu,1120,1120
5lxz_B,A,Cu,67223,67223
8po9_A,A,Cu,6725,6725
3hi7_A,A,Cu,5537,5537
4w9z_A,A,Cu,18808,18808
6q63_A,A,Cu,7110,7110
2cal_A,A,Cu,17566,17566
5opf_A,A,Cu,17489,17489
7mmr_A,A,Cu,1789,1789
1odb_F,A,Cu,6513,6513
6ri6_A,A,Cu,2574,2574
9bwh_A,A,Cu,52640,52640
2ov0_A,A,Cu,5588,5588
7tg5_B,A,Cu,4030,4030
9hdg_A,A,Cu,18439,18439
4tm7_A,A,Cu,18908,18908
6haq_B,A,Cu,24476,24476
2j56_M,A,Cu,2961,2961
5hli_A,A,Cu,48038,48038
6vow_A,A,Cu,44609,44609
6l8s_A,A,Cu,14136,14136
5y4c_A,A,Cu,6280,6280
7pu1_AAA,A,Cu,11557,11557
2ahl_B,A,Cu,111709,111709
4bz4_A,A,Cu,261448,261448
2y9w_A,A,Cu,21076,21076
1yi9_A,A,Cu,4402,4402
3e12_A,A,Cu,410,410
7vw2_B,A,Cu,68547,68547
7bk5_AAA,A,Cu,15959,15959
4qi8_A,A,Cu,4742,4742
7zn6_A,A,Cu,25754,25754
4z0y_A,A,Cu,10027,10027
4oak_A,A,Cu,16201,16201
6xx2_A,A,Cu,4807,4807
9kyn_A,A,Cu,3681,3681
6p16_A,A,Cu,40269,40269
3dso_A,A,Cu,26265,26265
5n62_A,A,Cu,283,283
2fk1_A,A,Cu,12818,12818
4rkn_A,A,Cu,50045,50045
6ryv_A,A,Cu,52826,52826
3wa2_X,A,Cu,1566,1566
4wbr_D,A,Cu,23364,23364
3iud_C,A,Cu,10028,10028
1ws8_C,A,Cu,30465,30465
6ju8_A,A,Cu,12250,12250
5ib5_A,A,Cu,118,118
8bbq_A,A,Cu,65471,65471
8z5b_A,A,Cu,4471,4471
5z0e_B,A,Cu,178523,178523
6qug_A,A,Cu,1917,1917
5z0i_B,A,Cu,192868,192868
5icu_A,A,Cu,208639,208639
6rrp_A,A,Cu,33822,33822
4b61_A,A,Cu,13638,13638
6cpd_A,A,Cu,167814,167814
3ka4_A,A,Cu,479,479
8r7i_A,A,Cu,63802,63802
2zmz_B,A,Cu,158165,158165
2xlg_A,A,Cu,42100,42100
2ztj_A,A,Cu,6570,6570
8q9x_A,A,Cu,11862,11862
5ssx_A,A,Cu,4277,4277
1lcf_A,A,Cu,660,660
1e9p_A,A,Cu,855,855
4e9s_A,A,Cu,2236,2236
9kwt_A,A,Cu,6621,6621
3e6z_X,A,Cu,15031,15031
5b7y_A,A,Cu,27735,27735
6tfo_A,A,Cu,51952,51952
1pzs_A,A,Cu,10669,10669
2gsm_B,A,Cu,2829,2829
4zel_A,A,Cu,17718,17718
2xjn_C,A,Cu,11606,11606
5syd_A,A,Cu,178954,178954
1x9u_A,A,Cu,45568,45568
6wk3_A,A,Cu,2745,2745
3zja_A,A,Cu,95682,95682
9ggo_A,A,Cu,5185,5185
6dyf_A,A,Cu,782,782
1zxi_B,A,Cu,10438,10438
4oy7_A,A,Cu,61653,61653
4b5q_A,A,Cu,26382,26382
4dpb_X,A,Cu,2820,2820
1v6p_A,A,Cu,1492,1492
5akr_A,A,Cu,786,786
5n0k_A,A,Cu,10163,10163
4phz_A,A,Cu,6420,6420
2ahk_B,A,Cu,112746,112746
6c40_B,A,Cu,1007,1007
1q05_A,A,Cu,7003,7003
6n5u_A,A,Cu,41914,41914
5hzs_A,A,Cu,3868,3868
7ptz_AAA,A,Cu,2562,2562
1jer_A,A,Cu,87022,87022
4wf5_B,A,Cu,629,629
5o2x_A,A,Cu,7456,7456
3awz_B,A,Cu,192775,192775
4hua_A,A,Cu,2924,2924
6z5y_A,A,Cu,60739,60739
4m1p_A,A,Cu,13794,13794
3gyr_A,A,Cu,75816,75816
2yev_A,A,Cu,2229,2229
7euu_A,A,Cu,7408,7408
7l6g_A,A,Cu,170934,170934
5l2v_A,A,Cu,6310,6310
8um6_B,A,Cu,45652,45652
6iqx_A,A,Cu,14358,14358
5c0u_A,A,Cu,7710,7710
7d1y_A,A,Cu,5347,5347
7zve_E,A,Cu,1500,1500
5yfd_A,A,Cu,6555,6555
5nns_A,A,Cu,65911,65911
1ksi_A,A,Cu,6854,6854
3hhs_B,A,Cu,5270,5270
1gmw_A,A,Cu,9366,9366
5z0e_A,A,Cu,3188,3188
3sb6_A,A,Cu,733,733
1gx5_A,A,other_transition,902,902
5c7s_A,A,other_transition,665,665
2q4a_A,A,other_transition,11593,11593
5iqn_A,A,other_transition,12237,12237
4rag_A,A,other_transition,6972,6972
3kgz_A,A,other_transition,46221,46221
6h5a_A,A,other_transition,11329,11329
3ggd_A,A,other_transition,115933,115933
3bww_A,A,other_transition,4841,4841
1z25_A,A,other_transition,24624,24624
6d0g_A,A,other_transition,47014,47014
6qv4_A,A,other_transition,1467,1467
2x7j_A,A,other_transition,2172,2172
3ktc_A,A,other_transition,83009,83009
2xsu_A,A,other_transition,9738,9738
2fqt_A,A,other_transition,584,584
2uw1_A,A,other_transition,3347,3347
6nvp_A,A,other_transition,76008,76008
6b3a_A,A,other_transition,36173,36173
3mxa_A,A,other_transition,4207,4207
2pal_A,A,other_transition,8235,8235
6icn_A,A,other_transition,24129,24129
4z3b_A,A,other_transition,582,582
3sao_B,A,other_transition,1871,1871
1jfz_A,A,other_transition,568,568
4ru3_A,A,other_transition,57494,57494
8sp5_A,A,other_transition,3642,3642
1zar_A,A,other_transition,6298,6298
8kfv_A,A,other_transition,17257,17257
5uq6_A,A,other_transition,6865,6865
6qgr_A,A,other_transition,14919,14919
3dw9_A,A,other_transition,16884,16884
1y63_A,A,other_transition,4930,4930
5ej8_D,A,other_transition,1705,1705
6pup_A,A,other_transition,53270,53270
7uva_D,A,other_transition,4506,4506
4tw3_A,A,other_transition,7437,7437
6sa1_A,A,other_transition,27328,27328
8ey3_A,A,other_transition,89004,89004
5cnq_A,A,other_transition,25134,25134
8x3g_A,A,other_transition,21776,21776
5we8_B,A,other_transition,9412,9412
4mlm_A,A,other_transition,11550,11550
3w42_A,A,other_transition,27205,27205
4u9n_B,A,other_transition,10299,10299
6p2a_A,A,other_transition,199568,199568
3d03_E,A,other_transition,18859,18859
2ygk_A,A,other_transition,49535,49535
3gke_A,A,other_transition,15078,15078
1on2_A,A,other_transition,4121,4121
3ven_A,A,other_transition,7737,7737
5ek8_A,A,other_transition,112272,112272
6v0t_A,A,other_transition,10187,10187
3r5u_A,A,other_transition,2028,2028
2iuw_A,A,other_transition,21414,21414
1e24_A,A,other_transition,496,496
8jdt_A,A,other_transition,4418,4418
8e60_A,A,other_transition,3708,3708
8jq4_A,A,other_transition,1298,1298
2o14_A,A,other_transition,82761,82761
5j42_A,A,other_transition,5057,5057
4cv4_A,A,other_transition,10831,10831
7de2_A,A,other_transition,47995,47995
1k1e_A,A,other_transition,2222,2222
7elv_E,A,other_transition,82296,82296
1jm0_A,A,other_transition,10589,10589
5zbf_A,A,other_transition,25877,25877
1nvm_A,A,other_transition,1115,1115
2qed_A,A,other_transition,1365,1365
9etk_A,A,other_transition,16754,16754
2dfj_A,A,other_transition,885,885
4zq9_A,A,other_transition,6891,6891
8sln_A,A,other_transition,28880,28880
2qh1_A,A,other_transition,91596,91596
9l56_A,A,other_transition,27469,27469
3gfz_A,A,other_transition,11171,11171
3gqa_A,A,other_transition,20220,20220
3rf7_A,A,other_transition,69741,69741
2xdb_A,A,other_transition,28765,28765
2w42_B,A,other_transition,17623,17623
1r89_A,A,other_transition,2839,2839
1ra0_A,A,other_transition,11068,11068
2faq_A,A,other_transition,22184,22184
7m49_A,A,other_transition,2135,2135
4pss_A,A,other_transition,871,871
4ic1_A,A,other_transition,79265,79265
7q4i_A,A,other_transition,25842,25842
1aor_A,A,other_transition,19607,19607
1khw_A,A,other_transition,36089,36089
7q9e_B,A,other_transition,404,404
3rvq_A,A,other_transition,1496,1496
8cqm_B,A,other_transition,19484,19484
5jsk_B,A,other_transition,1185,1185
1yd0_A,A,other_transition,9337,9337
6n9i_A,A,other_transition,12813,12813
6we0_A,A,other_transition,35130,35130
6tx0_B,A,other_transition,1786,1786
7nzp_BBB,A,other_transition,25689,25689
5c6c_A,A,other_transition,4992,4992
7xnt_A,A,other_transition,11361,11361
1a76_A,A,other_transition,1003,1003
2mnr_A,A,other_transition,11409,11409
4kir_A,A,other_transition,3258,3258
4nzv_B,A,other_transition,13822,13822
5efv_A,A,other_transition,51964,51964
1mwh_A,A,other_transition,12150,12150
6i0r_A,A,other_transition,820,820
5ol4_C,A,other_transition,126,126
4rzy_A,A,other_transition,30027,30027
3qq7_A,A,other_transition,13284,13284
8d3z_A,A,other_transition,24174,24174
4rap_A,A,other_transition,32775,32775
4fix_A,A,other_transition,19035,19035
1gqi_A,A,other_transition,7062,7062
1qmg_A,A,other_transition,6763,6763
4oj8_A,A,other_transition,53966,53966
5xd2_A,A,other_transition,8802,8802
5xeg_A,A,other_transition,28560,28560
5m45_A,A,other_transition,39570,39570
1igv_A,A,other_transition,6639,6639
6at2_A,A,other_transition,916,916
2wyr_A,A,other_transition,8438,8438
3l6b_A,A,other_transition,3084,3084
4m51_A,A,other_transition,30213,30213
1fi2_A,A,other_transition,2119,2119
3lw6_A,A,other_transition,31033,31033
4hei_A,A,other_transition,3593,3593
1jqn_A,A,other_transition,1053,1053
7kik_A,A,other_transition,220442,220442
3hix_A,A,other_transition,52956,52956
5odq_L,A,other_transition,8895,8895
7w8f_A,A,other_transition,14636,14636
3v1d_A,A,other_transition,20363,20363
7sze_C,A,other_transition,23687,23687
4mda_A,A,other_transition,21679,21679
1rm0_A,A,other_transition,3150,3150
8br0_B,A,other_transition,4070,4070
3e74_A,A,other_transition,3263,3263
4mag_A,A,other_transition,6892,6892
4njq_A,A,other_transition,3926,3926
7txg_B,A,other_transition,3178,3178
6g36_A,A,other_transition,4730,4730
8c2z_A,A,other_transition,41965,41965
2uzp_A,A,other_transition,8229,8229
